obs_date,port_id,commodity,tonnage,vessel_count,ingested_at
2019-05-14,port955,iron_ore,1627155,2,2026-05-18T11:13:37Z
2019-05-14,port981,iron_ore,526223,1,2026-05-18T11:13:37Z
2019-05-15,port276,iron_ore,349158,1,2026-05-18T11:13:37Z
2019-05-15,port955,iron_ore,909252,2,2026-05-18T11:13:37Z
2019-05-15,port981,iron_ore,573506,1,2026-05-18T11:13:37Z
2019-05-16,port276,iron_ore,345259,1,2026-05-18T11:13:37Z
2019-05-16,port955,iron_ore,1855982,2,2026-05-18T11:13:37Z
2019-05-16,port981,iron_ore,348967,1,2026-05-18T11:13:37Z
2019-05-17,port276,iron_ore,557963,2,2026-05-18T11:13:37Z
2019-05-17,port955,iron_ore,1394837,2,2026-05-18T11:13:37Z
2019-05-17,port981,iron_ore,413334,1,2026-05-18T11:13:37Z
